Genome	Category	Function	GeneRule	Present	EvidenceType	AnalysisSet	Species	Phylum
SGB_001	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	As cycling	Arsenate reduction	arrA	true	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	As cycling	Arsenate reduction	arrA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	As cycling	Arsenite oxidation	arxA||aioA	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	true	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I	true	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
SGB_011	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocatella oralis	Methanobacteriota
SGB_012	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota
SGB_013	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanococcus maripaludis_D	AGJL01
SGB_014	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Persephonella marina	Aquificota
SGB_015	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota
SGB_016	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota
SGB_017	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota
SGB_018	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nanoarchaeum equitans	Nanobdellota
SGB_019	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B
SGB_020	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Halobacterium salinarum	Halobacteriota
SGB_021	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Rhodopirellula baltica	Planctomycetota
SGB_022	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota
SGB_023	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga petrophila	Thermotogota
SGB_024	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Primary real MAG	Thermotoga neapolitana	Thermotogota
TRUNC_050	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_070	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_090	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
TRUNC_100	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II	false	METABOLIC curated HMM/motif rule	Deterministic truncation sensitivity	Nitrosomonas europaea	Pseudomonadota
SGB_001	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Desulfobulbus oralis	Desulfobacterota
SGB_002	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Nitrosomonas europaea	Pseudomonadota
SGB_003	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Porphyromonas gingivalis	Bacteroidota
SGB_004	Carbon fixation	Reverse TCA cycle	aclAB	true	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota
SGB_005	Carbon fixation	Reverse TCA cycle	aclAB	true	METABOLIC curated HMM/motif rule	Primary real MAG	Chlorobium limicola	Bacteroidota
SGB_006	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Shewanella baltica	Pseudomonadota
SGB_007	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota
SGB_008	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus islandicus	Thermoproteota
SGB_009	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Ignicoccus hospitalis	Thermoproteota
SGB_010	Carbon fixation	Reverse TCA cycle	aclAB	false	METABOLIC curated HMM/motif rule	Primary real MAG	Methanocaldococcus jannaschii	AGJL01
