Pathway	PathwayID	PathwayName	CommunityRPK	StrataRPKSum	RPKDifference	StrataToCommunityRatio	CommunityCPM	StrataCPMSum	CommunityRelativeAbundance	Coverage	Strata	DominantStratum	DominantFractionOfStrata
PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7221	guanosine ribonucleotides de novo biosynthesis	62.7268533637	34.3276762425	28.399177121200005	0.547256468349573	610.288	333.9836	0.000610288	0.9999125704	4	g__Methanothermus.s__Methanothermus_fervidus	0.3567249546661475
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	54.6177407262	0.0	54.6177407262	0.0	531.392	0.0	0.000531392	0.9982376522	0		0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	53.3705246397	16.2484091286	37.122115511100006	0.30444537014188383	519.258	158.0856	0.000519258	0.9941374754	2	g__Thermotoga.s__Thermotoga_petrophila	0.5231282548294856
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY	L-valine biosynthesis	53.2430807744	45.753511841000005	7.489568933399994	0.859332540032111	518.018	445.1494	0.000518018	0.9951449025	5	g__Thermotoga.s__Thermotoga_petrophila	0.2297073559473089
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	52.8306950937	13.7295189009	39.1011761928	0.2598776880854863	514.006	133.579	0.000514006	0.9974062895	1	g__Methanothermus.s__Methanothermus_fervidus	1.0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	52.467670492	15.9596358147	36.5080346773	0.304180377459934	510.474	155.276	0.000510474	0.9937045066	2	g__Thermotoga.s__Thermotoga_petrophila	0.5224704024148022
PWY-5103: L-isoleucine biosynthesis III	PWY-5103	L-isoleucine biosynthesis III	50.0184230634	14.1571813376	35.8612417258	0.2830393377187303	486.644	137.7394	0.000486644	0.9922206678	2	g__Thermotoga.s__Thermotoga_petrophila	0.5077912937942701
HISTSYN-PWY: L-histidine biosynthesis	HISTSYN-PWY	L-histidine biosynthesis	49.7601925253	11.1873688009	38.572823724399996	0.22482567355847569	484.132	108.84530000000001	0.000484132	0.9835385721	2	g__Thermotoga.s__Thermotoga_petrophila	0.5742131028507086
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	49.1258426927	36.7475295163	12.378313176399999	0.7480284815910264	477.96	357.5275	0.00047796	0.9963567249	4	g__Thermotoga.s__Thermotoga_neapolitana	0.29609466423514696
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	47.2318984029	40.3656027314	6.866295671499998	0.8546258798888674	459.533	392.7289	0.000459533	0.9637057086	5	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	0.31803955407591517
